종목코드,종목명,ESG등급,환경,사회,지배구조,ESG등급_ca,환경_ca,사회_ca,지배구조_ca,연도,종가,거래량
005180,빙그레,B+,B,B+,,5.0,3.0,5.0,,2011.0,58172.58064516129,3874210.0
006650,대한유화,B,B,B,B+,3.0,3.0,3.0,5.0,2021.0,257439.51612903227,22327132.0
006650,대한유화,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2018.0,239504.09836065574,12185576.0
006650,대한유화,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2017.0,258228.3950617284,10833592.0
006650,대한유화,B이하,C,B+,B이하,2.0,1.0,5.0,2.0,2016.0,226252.0325203252,10107556.0
006650,대한유화,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2015.0,149012.09677419355,15441557.0
006650,대한유화,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2014.0,73121.22448979592,11039570.0
006650,대한유화,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2013.0,55682.38866396761,12341969.0
006650,대한유화,B이하,B,B이하,B+,2.0,3.0,2.0,5.0,2012.0,75359.87903225806,6155346.0
006650,대한유화,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2011.0,115678.2258064516,12442468.0
009290,광동제약,B,C,B+,B+,3.0,1.0,5.0,5.0,2021.0,8576.774193548386,53701419.0
009290,광동제약,B이하,B,B+,B이하,2.0,3.0,5.0,2.0,2018.0,8024.713114754099,56476701.0
009290,광동제약,B이하,B,B+,B이하,2.0,3.0,5.0,2.0,2017.0,8655.390946502057,27567273.0
009290,광동제약,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2016.0,9923.373983739837,56317430.0
009290,광동제약,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2015.0,13399.798387096775,77970993.0
009290,광동제약,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2014.0,9505.591836734693,67674955.0
009290,광동제약,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2013.0,7039.716599190283,120022893.0
009290,광동제약,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2012.0,4445.887096774193,107865511.0
009290,광동제약,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2011.0,3208.951612903226,81963084.0
071970,STX중공업,B,C,B,B+,3.0,1.0,3.0,5.0,2021.0,5471.229838709677,301393404.0
071970,STX중공업,B이하,D,B+,B+,2.0,0.0,5.0,5.0,2016.0,204921.5569105691,163464442.0
071970,STX중공업,B이하,C,B+,B+,2.0,1.0,5.0,5.0,2013.0,1792381.0607287448,284609234.0
071970,STX중공업,B+,B,B+,B+,5.0,3.0,5.0,5.0,2012.0,2440262.745967742,15378406.0
071970,STX중공업,A,B,A,B+,6.0,3.0,6.0,5.0,2011.0,4293230.391129033,33822209.0
096760,JW홀딩스,B,D,B+,B+,3.0,0.0,5.0,5.0,2021.0,4333.056451612903,35288181.0
096760,JW홀딩스,B이하,B,B+,B이하,2.0,3.0,5.0,2.0,2018.0,7174.959016393443,85457235.0
096760,JW홀딩스,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2017.0,7561.975308641975,78676762.0
096760,JW홀딩스,B이하,C,B+,B이하,2.0,1.0,5.0,2.0,2016.0,9546.768292682927,130657337.0
096760,JW홀딩스,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2015.0,5905.866935483871,176885468.0
096760,JW홀딩스,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2014.0,2162.7020408163266,46138942.0
096760,JW홀딩스,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2013.0,1990.2348178137652,39981320.0
096760,JW홀딩스,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2012.0,1891.1814516129032,37881518.0
096760,JW홀딩스,B이하,B,B이하,,2.0,3.0,2.0,,2011.0,2006.0282258064517,194713013.0
000140,하이트진로홀딩스,B+,B+,A,B,5.0,5.0,6.0,3.0,2021.0,15383.064516129032,8382067.0
000140,하이트진로홀딩스,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2018.0,8633.524590163934,2491344.0
000140,하이트진로홀딩스,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2017.0,11224.732510288066,5993568.0
000140,하이트진로홀딩스,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2016.0,13928.861788617885,6546989.0
000140,하이트진로홀딩스,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2015.0,14030.241935483871,10756256.0
000140,하이트진로홀딩스,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2014.0,12657.959183673469,9198573.0
000140,하이트진로홀딩스,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2013.0,13691.7004048583,7941978.0
000140,하이트진로홀딩스,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2012.0,11425.604838709678,10827917.0
000140,하이트진로홀딩스,,B+,,,,5.0,,,2011.0,14744.758064516129,8724991.0
068270,셀트리온,B,C,B+,B+,3.0,1.0,5.0,5.0,2021.0,255638.31048387097,217524532.0
068270,셀트리온,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2018.0,242072.15983606558,290131836.0
079430,현대리바트,A,A,A+,A,6.0,6.0,7.0,6.0,2021.0,17416.532258064515,49459617.0
079430,현대리바트,B+,B+,B+,B이하,5.0,5.0,5.0,2.0,2018.0,23784.016393442624,20424400.0
079430,현대리바트,B+,B+,B+,B이하,5.0,5.0,5.0,2.0,2017.0,26115.22633744856,26348882.0
079430,현대리바트,B+,B+,B+,B이하,5.0,5.0,5.0,2.0,2016.0,29018.49593495935,23462856.0
079430,현대리바트,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2015.0,47174.1935483871,35592773.0
079430,현대리바트,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2014.0,27752.65306122449,40297848.0
079430,현대리바트,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2013.0,7975.668016194332,14354159.0
079430,현대리바트,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2012.0,6667.580645161291,6792690.0
079430,현대리바트,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2011.0,7564.153225806452,8979839.0
084010,대한제강,B,B,B,B,3.0,3.0,3.0,3.0,2021.0,18195.16129032258,83494161.0
084010,대한제강,B이하,B,B이하,B+,2.0,3.0,2.0,5.0,2018.0,8176.9672131147545,24529480.0
084010,대한제강,B이하,B,B이하,B+,2.0,3.0,2.0,5.0,2017.0,11030.823045267489,18004454.0
084010,대한제강,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2016.0,9384.796747967479,19089728.0
084010,대한제강,B이하,B,B이하,B+,2.0,3.0,2.0,5.0,2015.0,8398.870967741936,27147155.0
084010,대한제강,B이하,B,B이하,B+,2.0,3.0,2.0,5.0,2014.0,6345.755102040816,13124501.0
084010,대한제강,B이하,B,B이하,B+,2.0,3.0,2.0,5.0,2013.0,6915.141700404858,17688264.0
084010,대한제강,B+,B,B+,B+,5.0,3.0,5.0,5.0,2012.0,8602.379032258064,193413140.0
084010,대한제강,B+,B,B이하,B이하,5.0,3.0,2.0,2.0,2011.0,7866.794354838709,26155248.0
003030,세아제강지주,B+,B+,B+,B+,5.0,5.0,5.0,5.0,2021.0,83929.43548387097,4772761.0
002960,한국쉘석유,B,C,B+,B+,3.0,1.0,5.0,5.0,2021.0,267889.1129032258,712386.0
002960,한국쉘석유,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2018.0,348311.47540983604,339268.0
002960,한국쉘석유,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2017.0,405613.16872427985,397304.0
002960,한국쉘석유,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2016.0,457115.85365853657,387970.0
002960,한국쉘석유,B+,B+,B+,B이하,5.0,5.0,5.0,2.0,2015.0,479127.01612903224,521289.0
002960,한국쉘석유,B+,B+,B+,B+,5.0,5.0,5.0,5.0,2014.0,467836.7346938776,477917.0
002960,한국쉘석유,B+,B+,B+,B+,5.0,5.0,5.0,5.0,2013.0,369953.44129554654,564798.0
002960,한국쉘석유,B+,B,B+,B+,5.0,3.0,5.0,5.0,2012.0,226570.56451612903,343271.0
002960,한국쉘석유,B이하,B,B이하,,2.0,3.0,2.0,,2011.0,213745.96774193548,473139.0
007210,벽산,B,B+,B,B,3.0,5.0,3.0,3.0,2021.0,3678.326612903226,739483663.0
007210,벽산,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2018.0,3400.47131147541,111068973.0
007210,벽산,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2017.0,3775.5761316872427,154452539.0
007210,벽산,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2016.0,6608.90243902439,143201617.0
007210,벽산,B이하,D,B이하,B이하,2.0,0.0,2.0,2.0,2015.0,8247.177419354839,233235084.0
007210,벽산,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2014.0,4437.306122448979,220641224.0
007210,벽산,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2013.0,2042.834008097166,60814847.0
007210,벽산,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2012.0,2387.157258064516,14232763.0
018880,한온시스템,B+,B+,B+,B+,5.0,5.0,5.0,5.0,2021.0,16225.0,346400589.0
