종목코드,종목명,ESG등급,환경,사회,지배구조,평가년도,ESG등급_ca,환경_ca,사회_ca,지배구조_ca
011780,금호석유화학,B이하,C,B이하,B+,2015,2.0,1.0,2.0,5.0
011780,금호석유화학,B+,B,B+,B+,2014,5.0,3.0,5.0,5.0
011780,금호석유화학,B+,B+,B+,A,2013,5.0,5.0,5.0,6.0
011780,금호석유화학,B+,B+,A,B+,2012,5.0,5.0,6.0,5.0
011780,금호석유화학,A,B+,A,A,2011,6.0,5.0,6.0,6.0
028260,삼성물산,A,A,A+,A,2021,6.0,6.0,7.0,6.0
028260,삼성물산,A+,A,A+,A+,2018,7.0,6.0,7.0,7.0
028260,삼성물산,A,A,A+,A,2017,6.0,6.0,7.0,6.0
028260,삼성물산,A+,A+,A+,A,2016,7.0,7.0,7.0,6.0
028260,삼성물산,B+,B,B+,A,2015,5.0,3.0,5.0,6.0
028260,삼성물산,B이하,D,B이하,B+,2015,2.0,0.0,2.0,5.0
028260,삼성물산,B+,B,A,A,2014,5.0,3.0,6.0,6.0
028260,삼성물산,A,B+,A,A,2013,6.0,5.0,6.0,6.0
028260,삼성물산,A,B+,A,A,2012,6.0,5.0,6.0,6.0
028260,삼성물산,A+,B+,A+,A,2011,7.0,5.0,7.0,6.0
034120,SBS,B,D,B+,B+,2021,3.0,0.0,5.0,5.0
034120,SBS,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
034120,SBS,B이하,B,B이하,B이하,2017,2.0,3.0,2.0,2.0
034120,SBS,B이하,B,B이하,B이하,2016,2.0,3.0,2.0,2.0
034120,SBS,B이하,B+,B이하,B이하,2015,2.0,5.0,2.0,2.0
034120,SBS,B이하,B+,B이하,B이하,2014,2.0,5.0,2.0,2.0
034120,SBS,B이하,B+,B이하,B이하,2013,2.0,5.0,2.0,2.0
034120,SBS,B이하,B+,B이하,B이하,2012,2.0,5.0,2.0,2.0
034120,SBS,,B,,,2011,,3.0,,
003300,한일홀딩스,B,B+,B+,B,2021,3.0,5.0,5.0,3.0
032830,삼성생명,A,A,A+,B+,2021,6.0,6.0,7.0,5.0
032830,삼성생명,B+,B+ 이하,B+,A,2018,5.0,4.0,5.0,6.0
032830,삼성생명,A,A,A,A,2017,6.0,6.0,6.0,6.0
032830,삼성생명,A,A+,B+,A,2016,6.0,7.0,5.0,6.0
032830,삼성생명,A,A,A,A+,2015,6.0,6.0,6.0,7.0
032830,삼성생명,A,A,A+,A,2014,6.0,6.0,7.0,6.0
032830,삼성생명,A,A,A+,A,2013,6.0,6.0,7.0,6.0
032830,삼성생명,B이하,B+,B이하,B이하,2012,2.0,5.0,2.0,2.0
000810,삼성화재해상보험,A,A+,A+,B+,2021,6.0,7.0,7.0,5.0
000810,삼성화재해상보험,A,B+ 이하,A+,A+,2018,6.0,4.0,7.0,7.0
000810,삼성화재해상보험,A,A,A+,A,2017,6.0,6.0,7.0,6.0
000810,삼성화재해상보험,A+,A+,A+,A,2016,7.0,7.0,7.0,6.0
000810,삼성화재해상보험,A,A+,A,A,2015,6.0,7.0,6.0,6.0
000810,삼성화재해상보험,A,A,A,A,2014,6.0,6.0,6.0,6.0
000810,삼성화재해상보험,A,A,A,A,2013,6.0,6.0,6.0,6.0
000810,삼성화재해상보험,A,A,A,B+,2012,6.0,6.0,6.0,5.0
000810,삼성화재해상보험,A,A,A,B+,2011,6.0,6.0,6.0,5.0
010950,S-Oil,A,B+,A+,A+,2021,6.0,5.0,7.0,7.0
010950,S-Oil,A+,A+,A+,A,2018,7.0,7.0,7.0,6.0
010950,S-Oil,A+,A+,A+,A,2017,7.0,7.0,7.0,6.0
010950,S-Oil,A+,A+,A+,A,2016,7.0,7.0,7.0,6.0
010950,S-Oil,A,A,A+,A,2015,6.0,6.0,7.0,6.0
010950,S-Oil,A+,A+,A,A+,2014,7.0,7.0,6.0,7.0
010950,S-Oil,A+,A,A+,A+,2013,7.0,6.0,7.0,7.0
010950,S-Oil,A,A,A,A+,2012,6.0,6.0,6.0,7.0
010950,S-Oil,A,A,A,A+,2011,6.0,6.0,6.0,7.0
000100,유한양행,B+,B+,A,B+,2021,5.0,5.0,6.0,5.0
000100,유한양행,B+,B,B+,B+,2018,5.0,3.0,5.0,5.0
000100,유한양행,B이하,B,B이하,B+,2017,2.0,3.0,2.0,5.0
000100,유한양행,B+,B+,B이하,B+,2016,5.0,5.0,2.0,5.0
000100,유한양행,B+,B+,B이하,B+,2015,5.0,5.0,2.0,5.0
000100,유한양행,B+,B,B+,B+,2014,5.0,3.0,5.0,5.0
000100,유한양행,B이하,B,B이하,B+,2013,2.0,3.0,2.0,5.0
000100,유한양행,B+,B+,B이하,B+,2012,5.0,5.0,2.0,5.0
000100,유한양행,B이하,B,B이하,B이하,2011,2.0,3.0,2.0,2.0
003450,케이비증권,,,,A,2021,,,,6.0
003450,케이비증권,,B+ 이하,,,2018,,4.0,,
003450,케이비증권,B이하,A,B이하,B이하,2016,2.0,6.0,2.0,2.0
003450,케이비증권,B이하,A,B이하,B이하,2015,2.0,6.0,2.0,2.0
003450,케이비증권,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
003450,케이비증권,B이하,B+,B이하,B이하,2013,2.0,5.0,2.0,2.0
003450,케이비증권,B이하,B+,B이하,B이하,2012,2.0,5.0,2.0,2.0
003450,케이비증권,B이하,B+,B이하,B이하,2011,2.0,5.0,2.0,2.0
034730,SK,A+,A+,A+,A+,2021,7.0,7.0,7.0,7.0
034730,SK,A+,A+,A+,A,2018,7.0,7.0,7.0,6.0
034730,SK,A+,A+,A+,A,2017,7.0,7.0,7.0,6.0
034730,SK,A,A,A+,A,2016,6.0,6.0,7.0,6.0
034730,SK,A,A,A,A,2015,6.0,6.0,6.0,6.0
034730,SK,B이하,C,B+,B이하,2014,2.0,1.0,5.0,2.0
034730,SK,A,B,A,A+,2014,6.0,3.0,6.0,7.0
034730,SK,B이하,B,B+,B이하,2013,2.0,3.0,5.0,2.0
034730,SK,A,B+,A+,A,2013,6.0,5.0,7.0,6.0
034730,SK,B+,B+,B+,B이하,2012,5.0,5.0,5.0,2.0
034730,SK,A,B+,A,A,2012,6.0,5.0,6.0,6.0
034730,SK,B이하,B+,B이하,B이하,2011,2.0,5.0,2.0,2.0
034730,SK,B이하,B+,B이하,,2011,2.0,5.0,2.0,
005300,롯데칠성음료,A,B+,A+,A,2021,6.0,5.0,7.0,6.0
005300,롯데칠성음료,B+,B+,A,B+,2018,5.0,5.0,6.0,5.0
005300,롯데칠성음료,B+,B,B+,A,2017,5.0,3.0,5.0,6.0
005300,롯데칠성음료,B+,C,A,A,2016,5.0,1.0,6.0,6.0
005300,롯데칠성음료,B+,B,A,A,2015,5.0,3.0,6.0,6.0
005300,롯데칠성음료,B+,B+,B+,B+,2014,5.0,5.0,5.0,5.0
005300,롯데칠성음료,B+,B,A,B+,2013,5.0,3.0,6.0,5.0
005300,롯데칠성음료,B+,B,A,B+,2012,5.0,3.0,6.0,5.0
005300,롯데칠성음료,B이하,B,B이하,B이하,2011,2.0,3.0,2.0,2.0
003670,포스코케미칼,A,A,A+,B+,2021,6.0,6.0,7.0,5.0
161390,한국타이어앤테크놀로지,B+,B+,A,B,2021,5.0,5.0,6.0,3.0
138930,BNK금융지주,A+,A,A+,A+,2021,7.0,6.0,7.0,7.0
138930,BNK금융지주,B+,B+ 이하,B+,B이하,2018,5.0,4.0,5.0,2.0
138930,BNK금융지주,B+,B,A,B+,2017,5.0,3.0,6.0,5.0
138930,BNK금융지주,A,A+,B+,B이하,2016,6.0,7.0,5.0,2.0
138930,BNK금융지주,A,A+,A,B이하,2015,6.0,7.0,6.0,2.0
138930,BNK금융지주,A,A+,A,B이하,2014,6.0,7.0,6.0,2.0
138930,BNK금융지주,B+,A,A,B이하,2013,5.0,6.0,6.0,2.0
138930,BNK금융지주,A,A+,A,B이하,2012,6.0,7.0,6.0,2.0
001450,현대해상,A,A,A+,A,2021,6.0,6.0,7.0,6.0
001450,현대해상,A,A,A+,A,2018,6.0,6.0,7.0,6.0
001450,현대해상,A,A,A,B+,2017,6.0,6.0,6.0,5.0
001450,현대해상,A,A+,B+,B이하,2016,6.0,7.0,5.0,2.0
001450,현대해상,B+,A,A,B이하,2015,5.0,6.0,6.0,2.0
001450,현대해상,A,A,A,B+,2014,6.0,6.0,6.0,5.0
001450,현대해상,B+,A,A,B이하,2013,5.0,6.0,6.0,2.0
001450,현대해상,B+,A,A,B이하,2012,5.0,6.0,6.0,2.0
001450,현대해상,A,A,A,B+,2011,6.0,6.0,6.0,5.0
039490,키움증권,B,C,A,B,2021,3.0,1.0,6.0,3.0
039490,키움증권,B이하,B+ 이하,B이하,B이하,2018,2.0,4.0,2.0,2.0
039490,키움증권,B+,A,B이하,B이하,2017,5.0,6.0,2.0,2.0
039490,키움증권,B+,A,B+,B이하,2016,5.0,6.0,5.0,2.0
039490,키움증권,B이하,A,B이하,B이하,2015,2.0,6.0,2.0,2.0
039490,키움증권,B이하,B+,B이하,B이하,2014,2.0,5.0,2.0,2.0
039490,키움증권,B이하,B+,B이하,B이하,2013,2.0,5.0,2.0,2.0
039490,키움증권,,B+,B이하,,2012,,5.0,2.0,
039490,키움증권,B이하,B,B이하,,2011,2.0,3.0,2.0,
090430,아모레퍼시픽,A,A,A+,A,2021,6.0,6.0,7.0,6.0
090430,아모레퍼시픽,B+,B,A+,A,2018,5.0,3.0,7.0,6.0
090430,아모레퍼시픽,A,B+,A,A,2017,6.0,5.0,6.0,6.0
090430,아모레퍼시픽,A,B+,A,A,2016,6.0,5.0,6.0,6.0
090430,아모레퍼시픽,B+,B,A,B+,2015,5.0,3.0,6.0,5.0
090430,아모레퍼시픽,B+,B+,A,B+,2014,5.0,5.0,6.0,5.0
090430,아모레퍼시픽,B+,B+,A,B+,2013,5.0,5.0,6.0,5.0
090430,아모레퍼시픽,A,B+,A+,A,2012,6.0,5.0,7.0,6.0
090430,아모레퍼시픽,A,A,A,A,2011,6.0,6.0,6.0,6.0
251270,넷마블,B+,D,B+,A,2021,5.0,0.0,5.0,6.0
018260,삼성에스디에스,A,A,A+,A,2021,6.0,6.0,7.0,6.0
018260,삼성에스디에스,B+,B+,A,B+,2018,5.0,5.0,6.0,5.0
018260,삼성에스디에스,B+,B+,B+,B+,2017,5.0,5.0,5.0,5.0
018260,삼성에스디에스,B+,B+,B+,B이하,2016,5.0,5.0,5.0,2.0
000270,기아,A+,A+,A+,A,2021,7.0,7.0,7.0,6.0
005090,SGC에너지,B+,B+,A,B+,2021,5.0,5.0,6.0,5.0
097230,HJ중공업,,,,,,,,,
004020,현대제철,B+,B+,B+,A,2021,5.0,5.0,5.0,6.0
004020,현대제철,B이하,C,A,B+,2018,2.0,1.0,6.0,5.0
004020,현대제철,B이하,B,B이하,B+,2017,2.0,3.0,2.0,5.0
004020,현대제철,B이하,C,B이하,B+,2016,2.0,1.0,2.0,5.0
004020,현대제철,B+,B,B+,B+,2015,5.0,3.0,5.0,5.0
004020,현대제철,B+,B+,A,B+,2014,5.0,5.0,6.0,5.0
004020,현대제철,B+,B+,B+,B+,2013,5.0,5.0,5.0,5.0
004020,현대제철,A,B+,A,A,2012,6.0,5.0,6.0,6.0
004020,현대제철,A,B+,A,B+,2011,6.0,5.0,6.0,5.0
012330,현대모비스,A,A,A+,A,2021,6.0,6.0,7.0,6.0
012330,현대모비스,B+,B,A,A,2018,5.0,3.0,6.0,6.0
012330,현대모비스,B이하,C,A,A,2017,2.0,1.0,6.0,6.0
012330,현대모비스,B+,C,A+,A,2016,5.0,1.0,7.0,6.0
012330,현대모비스,B이하,C,B+,B+,2015,2.0,1.0,5.0,5.0
012330,현대모비스,A,B+,A,A,2014,6.0,5.0,6.0,6.0
012330,현대모비스,B+,B+,B+,B+,2013,5.0,5.0,5.0,5.0
012330,현대모비스,B+,B+,A,B+,2012,5.0,5.0,6.0,5.0
012330,현대모비스,A,B+,A,B+,2011,6.0,5.0,6.0,5.0
010130,고려아연,B,B+,C,B+,2021,3.0,5.0,1.0,5.0
010130,고려아연,B이하,C,B+,B+,2018,2.0,1.0,5.0,5.0
010130,고려아연,B이하,B,B+,B이하,2017,2.0,3.0,5.0,2.0
010130,고려아연,B이하,B+,B이하,B이하,2016,2.0,5.0,2.0,2.0
010130,고려아연,B+,B,B+,B+,2015,5.0,3.0,5.0,5.0
010130,고려아연,B+,B+,B이하,B+,2014,5.0,5.0,2.0,5.0
010130,고려아연,B이하,B,B이하,B+,2013,2.0,3.0,2.0,5.0
010130,고려아연,B+,B+,B이하,B+,2012,5.0,5.0,2.0,5.0
010130,고려아연,B이하,B+,B이하,B이하,2011,2.0,5.0,2.0,2.0
000030,우리은행,,,,C,2021,,,,1.0
000030,우리은행,B+,B+ 이하,B+,B이하,2018,5.0,4.0,5.0,2.0
000030,우리은행,B+,A,B이하,B이하,2017,5.0,6.0,2.0,2.0
000030,우리은행,B+,A+,B이하,B이하,2016,5.0,7.0,2.0,2.0
000030,우리은행,B+,A+,B이하,B이하,2015,5.0,7.0,2.0,2.0
004800,효성,A,A,A+,B+,2021,6.0,6.0,7.0,5.0
004800,효성,B이하,C,B+,B+,2018,2.0,1.0,5.0,5.0
004800,효성,B이하,D,A,B+,2017,2.0,0.0,6.0,5.0
004800,효성,B이하,D,B+,A,2016,2.0,0.0,5.0,6.0
004800,효성,B이하,C,B+,B+,2015,2.0,1.0,5.0,5.0
004800,효성,B이하,B,B+,B이하,2014,2.0,3.0,5.0,2.0
004800,효성,B+,B+,B+,B+,2013,5.0,5.0,5.0,5.0
004800,효성,B+,B+,B이하,B+,2012,5.0,5.0,2.0,5.0
004800,효성,B이하,B+,B이하,B+,2011,2.0,5.0,2.0,5.0
044820,코스맥스비티아이,B+,A,A,B+,2021,5.0,6.0,6.0,5.0
044820,코스맥스비티아이,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
044820,코스맥스비티아이,B이하,B,B이하,B이하,2017,2.0,3.0,2.0,2.0
044820,코스맥스비티아이,B이하,B,B이하,B이하,2016,2.0,3.0,2.0,2.0
044820,코스맥스비티아이,B이하,B,B이하,B이하,2015,2.0,3.0,2.0,2.0
044820,코스맥스비티아이,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
044820,코스맥스비티아이,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
044820,코스맥스비티아이,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
044820,코스맥스비티아이,B이하,B,B이하,B이하,2011,2.0,3.0,2.0,2.0
033780,케이티앤지,A,A,A+,A,2021,6.0,6.0,7.0,6.0
033780,케이티앤지,A+,A+,A+,B+,2018,7.0,7.0,7.0,5.0
033780,케이티앤지,A,A,A+,B+,2017,6.0,6.0,7.0,5.0
033780,케이티앤지,A,A+,B+,B+,2016,6.0,7.0,5.0,5.0
033780,케이티앤지,A,A+,B+,B+,2015,6.0,7.0,5.0,5.0
033780,케이티앤지,A,A+,A,B+,2014,6.0,7.0,6.0,5.0
033780,케이티앤지,A,A+,A,A,2013,6.0,7.0,6.0,6.0
033780,케이티앤지,A,A+,A+,B+,2012,6.0,7.0,7.0,5.0
033780,케이티앤지,B+,A+,B+,A,2011,5.0,7.0,5.0,6.0
001230,동국제강,B+,B+,B,B+,2021,5.0,5.0,3.0,5.0
001230,동국제강,B이하,B,B이하,B+,2018,2.0,3.0,2.0,5.0
001230,동국제강,B이하,C,B+,B+,2017,2.0,1.0,5.0,5.0
001230,동국제강,B이하,C,B+,B+,2016,2.0,1.0,5.0,5.0
001230,동국제강,B이하,C,B이하,B+,2015,2.0,1.0,2.0,5.0
001230,동국제강,B+,B+,B이하,B+,2014,5.0,5.0,2.0,5.0
001230,동국제강,B+,B+,B이하,B+,2013,5.0,5.0,2.0,5.0
001230,동국제강,B+,B+,B이하,B+,2012,5.0,5.0,2.0,5.0
001230,동국제강,B이하,B+,B이하,B이하,2011,2.0,5.0,2.0,2.0
029780,삼성카드,A,A+,A+,A,2021,6.0,7.0,7.0,6.0
029780,삼성카드,B이하,B+ 이하,B이하,B이하,2018,2.0,4.0,2.0,2.0
029780,삼성카드,B+,A,B이하,B이하,2017,5.0,6.0,2.0,2.0
029780,삼성카드,B+,A+,B+,B이하,2016,5.0,7.0,5.0,2.0
029780,삼성카드,B+,A,B이하,B이하,2015,5.0,6.0,2.0,2.0
029780,삼성카드,B이하,B+,B+,B이하,2014,2.0,5.0,5.0,2.0
029780,삼성카드,B이하,B,B+,B이하,2013,2.0,3.0,5.0,2.0
029780,삼성카드,B이하,B+,B+,B이하,2012,2.0,5.0,5.0,2.0
029780,삼성카드,B+,B+,B+,,2011,5.0,5.0,5.0,
007310,오뚜기,A,B+,A+,B+,2021,6.0,5.0,7.0,5.0
007310,오뚜기,B+,B,A,B+,2018,5.0,3.0,6.0,5.0
007310,오뚜기,B이하,D,B+,B이하,2017,2.0,0.0,5.0,2.0
007310,오뚜기,B이하,D,B+,B이하,2016,2.0,0.0,5.0,2.0
007310,오뚜기,B이하,C,B이하,B이하,2015,2.0,1.0,2.0,2.0
007310,오뚜기,B이하,C,B이하,B+,2014,2.0,1.0,2.0,5.0
007310,오뚜기,B이하,C,B이하,B+,2013,2.0,1.0,2.0,5.0
007310,오뚜기,B이하,C,B이하,B+,2012,2.0,1.0,2.0,5.0
007310,오뚜기,B이하,C,B이하,,2011,2.0,1.0,2.0,
003920,남양유업,B+,B+,B+,B+,2021,5.0,5.0,5.0,5.0
003920,남양유업,B이하,C,B이하,B이하,2018,2.0,1.0,2.0,2.0
003920,남양유업,B이하,B,B+,B이하,2017,2.0,3.0,5.0,2.0
003920,남양유업,B이하,D,B+,B이하,2016,2.0,0.0,5.0,2.0
003920,남양유업,B이하,C,B이하,B이하,2015,2.0,1.0,2.0,2.0
003920,남양유업,B이하,C,B이하,B이하,2014,2.0,1.0,2.0,2.0
003920,남양유업,B이하,B,B이하,B+,2013,2.0,3.0,2.0,5.0
003920,남양유업,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
003920,남양유업,,B,,,2011,,3.0,,
030000,제일기획,B+,C,A,B+,2021,5.0,1.0,6.0,5.0
030000,제일기획,B이하,B+,B이하,B이하,2018,2.0,5.0,2.0,2.0
030000,제일기획,B이하,B,B이하,B이하,2017,2.0,3.0,2.0,2.0
030000,제일기획,B이하,B,B이하,B+,2016,2.0,3.0,2.0,5.0
030000,제일기획,B이하,C,B+,B+,2015,2.0,1.0,5.0,5.0
030000,제일기획,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
030000,제일기획,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
030000,제일기획,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
030000,제일기획,,B,,,2011,,3.0,,
300720,한일시멘트,B+,B+,B+,B,2021,5.0,5.0,5.0,3.0
300720,한일시멘트,,D,,,2018,,0.0,,
300720,한일시멘트,B이하,B,B이하,B+,2017,2.0,3.0,2.0,5.0
300720,한일시멘트,B이하,C,B이하,B+,2016,2.0,1.0,2.0,5.0
300720,한일시멘트,B+,B,B+,B+,2015,5.0,3.0,5.0,5.0
300720,한일시멘트,B이하,B,B이하,B+,2014,2.0,3.0,2.0,5.0
300720,한일시멘트,B이하,B,B이하,B+,2013,2.0,3.0,2.0,5.0
300720,한일시멘트,B이하,B,B이하,B+,2012,2.0,3.0,2.0,5.0
300720,한일시멘트,B이하,B,B이하,B이하,2011,2.0,3.0,2.0,2.0
009420,한올바이오파마,B,D,B,B+,2021,3.0,0.0,3.0,5.0
009420,한올바이오파마,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
009420,한올바이오파마,B이하,B+,B이하,B이하,2017,2.0,5.0,2.0,2.0
009420,한올바이오파마,B이하,C,B+,B이하,2016,2.0,1.0,5.0,2.0
009420,한올바이오파마,B이하,B,B이하,B이하,2015,2.0,3.0,2.0,2.0
009420,한올바이오파마,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
009420,한올바이오파마,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
009420,한올바이오파마,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
009420,한올바이오파마,B+,B,B+,,2011,5.0,3.0,5.0,
082740,HSD엔진,A,B+,A,A,2021,6.0,5.0,6.0,6.0
082740,HSD엔진,A,A,A,A,2018,6.0,6.0,6.0,6.0
069620,대웅제약,C,D,B,B,2021,1.0,0.0,3.0,3.0
069620,대웅제약,B이하,C,B+,B이하,2018,2.0,1.0,5.0,2.0
069620,대웅제약,B이하,C,B+,B이하,2017,2.0,1.0,5.0,2.0
069620,대웅제약,B이하,C,B+,B이하,2016,2.0,1.0,5.0,2.0
069620,대웅제약,B이하,C,B+,B이하,2015,2.0,1.0,5.0,2.0
069620,대웅제약,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
069620,대웅제약,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
069620,대웅제약,B+,B,B+,B+,2012,5.0,3.0,5.0,5.0
069620,대웅제약,B+,B,B이하,,2011,5.0,3.0,2.0,
004710,한솔테크닉스,A,B+,A,A,2021,6.0,5.0,6.0,6.0
004710,한솔테크닉스,B+,B,B+,B+,2018,5.0,3.0,5.0,5.0
004710,한솔테크닉스,B+,B+,B이하,B+,2017,5.0,5.0,2.0,5.0
004710,한솔테크닉스,B이하,B,B이하,B+,2016,2.0,3.0,2.0,5.0
004710,한솔테크닉스,B이하,C,B이하,B이하,2015,2.0,1.0,2.0,2.0
004710,한솔테크닉스,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
004710,한솔테크닉스,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
004710,한솔테크닉스,B이하,C,B이하,B이하,2012,2.0,1.0,2.0,2.0
004710,한솔테크닉스,B이하,B,B이하,,2011,2.0,3.0,2.0,
108670,LX하우시스,A,A,A+,A,2021,6.0,6.0,7.0,6.0
073240,금호타이어,B+,B+,A,B+,2021,5.0,5.0,6.0,5.0
073240,금호타이어,B+,B+,B+,B+,2018,5.0,5.0,5.0,5.0
073240,금호타이어,B이하,C,B+,B+,2017,2.0,1.0,5.0,5.0
073240,금호타이어,B+,C,A+,B+,2016,5.0,1.0,7.0,5.0
073240,금호타이어,B이하,C,B+,B+,2015,2.0,1.0,5.0,5.0
073240,금호타이어,B+,B+,B+,A,2014,5.0,5.0,5.0,6.0
073240,금호타이어,B이하,B,B이하,B+,2013,2.0,3.0,2.0,5.0
073240,금호타이어,B이하,C,B이하,B+,2012,2.0,1.0,2.0,5.0
086280,현대글로비스,A,A,A+,A,2021,6.0,6.0,7.0,6.0
086280,현대글로비스,B+,B+,A,B+,2018,5.0,5.0,6.0,5.0
086280,현대글로비스,B+,B+,B+,B+,2017,5.0,5.0,5.0,5.0
086280,현대글로비스,B+,B,A+,B+,2016,5.0,3.0,7.0,5.0
086280,현대글로비스,B이하,B,B이하,B+,2015,2.0,3.0,2.0,5.0
086280,현대글로비스,B이하,B+,B이하,B이하,2014,2.0,5.0,2.0,2.0
086280,현대글로비스,B+,B+,B+,B이하,2013,5.0,5.0,5.0,2.0
086280,현대글로비스,B이하,B,B+,B이하,2012,2.0,3.0,5.0,2.0
086280,현대글로비스,B+,B,B+,B이하,2011,5.0,3.0,5.0,2.0
051910,LG화학,B+,B+,A,B+,2021,5.0,5.0,6.0,5.0
051910,LG화학,A,B+,A+,A,2018,6.0,5.0,7.0,6.0
051910,LG화학,A,B+,A+,A,2017,6.0,5.0,7.0,6.0
051910,LG화학,B+,B,B+,B+,2016,5.0,3.0,5.0,5.0
051910,LG화학,B+,B+,B+,B+,2015,5.0,5.0,5.0,5.0
051910,LG화학,A,A,A,B+,2014,6.0,6.0,6.0,5.0
051910,LG화학,A,A,A,B+,2013,6.0,6.0,6.0,5.0
051910,LG화학,A,B+,A,A,2012,6.0,5.0,6.0,6.0
051910,LG화학,A,B+,A,A,2011,6.0,5.0,6.0,6.0
139480,이마트,A,A,A,A,2021,6.0,6.0,6.0,6.0
139480,이마트,B+,B+,B+,B+,2018,5.0,5.0,5.0,5.0
139480,이마트,B+,B+,A,B+,2017,5.0,5.0,6.0,5.0
139480,이마트,B이하,C,B이하,A,2016,2.0,1.0,2.0,6.0
139480,이마트,B이하,C,B이하,A,2015,2.0,1.0,2.0,6.0
139480,이마트,A,B+,B+,A+,2014,6.0,5.0,5.0,7.0
139480,이마트,B+,B+,B+,B+,2013,5.0,5.0,5.0,5.0
139480,이마트,B이하,B+,B+,B이하,2012,2.0,5.0,5.0,2.0
028050,삼성엔지니어링,A,A,A+,A,2021,6.0,6.0,7.0,6.0
028050,삼성엔지니어링,A,A,A+,A,2018,6.0,6.0,7.0,6.0
028050,삼성엔지니어링,A,B+,A+,A,2017,6.0,5.0,7.0,6.0
028050,삼성엔지니어링,B+,B+,B+,A,2016,5.0,5.0,5.0,6.0
028050,삼성엔지니어링,A,B+,A,A,2015,6.0,5.0,6.0,6.0
028050,삼성엔지니어링,A,B+,A,A,2014,6.0,5.0,6.0,6.0
028050,삼성엔지니어링,B+,B+,A,B+,2013,5.0,5.0,6.0,5.0
028050,삼성엔지니어링,B+,B+,B+,B이하,2012,5.0,5.0,5.0,2.0
028050,삼성엔지니어링,B+,B+,B+,B이하,2011,5.0,5.0,5.0,2.0
207940,삼성바이오로직스,A,A,A+,A,2021,6.0,6.0,7.0,6.0
207940,삼성바이오로직스,B+,B,A,B이하,2018,5.0,3.0,6.0,2.0
207940,삼성바이오로직스,B+,B+,B+,B+,2017,5.0,5.0,5.0,5.0
000700,유수홀딩스,B+,D,B,A,2021,5.0,0.0,3.0,6.0
000700,유수홀딩스,B+,B+,B+,B이하,2018,5.0,5.0,5.0,2.0
000700,유수홀딩스,B+,B+,B+,B이하,2017,5.0,5.0,5.0,2.0
000700,유수홀딩스,B이하,B,B이하,B이하,2016,2.0,3.0,2.0,2.0
000700,유수홀딩스,B이하,B,B이하,B이하,2015,2.0,3.0,2.0,2.0
000700,유수홀딩스,B이하,B,B+,B이하,2014,2.0,3.0,5.0,2.0
000700,유수홀딩스,B이하,B,B이하,B+,2013,2.0,3.0,2.0,5.0
000700,유수홀딩스,B+,B+,B+,B+,2012,5.0,5.0,5.0,5.0
000700,유수홀딩스,B+,B+,B+,B+,2011,5.0,5.0,5.0,5.0
000230,일동홀딩스,A,B+,A,A,2021,6.0,5.0,6.0,6.0
000230,일동홀딩스,B이하,B,B+,B이하,2018,2.0,3.0,5.0,2.0
000230,일동홀딩스,B이하,B,B이하,B이하,2017,2.0,3.0,2.0,2.0
000230,일동홀딩스,B이하,B,B이하,B이하,2016,2.0,3.0,2.0,2.0
000230,일동홀딩스,B이하,B+,B이하,B이하,2015,2.0,5.0,2.0,2.0
000230,일동홀딩스,B이하,C,B이하,B이하,2014,2.0,1.0,2.0,2.0
000230,일동홀딩스,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
000230,일동홀딩스,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
000230,일동홀딩스,B이하,B,B이하,B이하,2011,2.0,3.0,2.0,2.0
029530,신도리코,C,C,C,B+,2021,1.0,1.0,1.0,5.0
029530,신도리코,B이하,B+,B이하,B이하,2018,2.0,5.0,2.0,2.0
029530,신도리코,B+,B+,B이하,B+,2017,5.0,5.0,2.0,5.0
029530,신도리코,B이하,B,B이하,B+,2016,2.0,3.0,2.0,5.0
029530,신도리코,B+,B+,B이하,B+,2015,5.0,5.0,2.0,5.0
029530,신도리코,B이하,B+,B이하,B이하,2014,2.0,5.0,2.0,2.0
029530,신도리코,B+,B,B+,B+,2013,5.0,3.0,5.0,5.0
029530,신도리코,B이하,B,B이하,B+,2012,2.0,3.0,2.0,5.0
