종목코드,종목명,ESG등급,환경,사회,지배구조,평가년도,ESG등급_ca,환경_ca,사회_ca,지배구조_ca
192820,코스맥스,B이하,B,B이하,B이하,2016,2.0,3.0,2.0,2.0
011810,STX,B,D,B,B+,2021,3.0,0.0,3.0,5.0
011810,STX,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
011810,STX,B이하,B,B+,B이하,2017,2.0,3.0,5.0,2.0
011810,STX,B이하,C,B+,B이하,2016,2.0,1.0,5.0,2.0
011810,STX,B+,B,B+,B+,2013,5.0,3.0,5.0,5.0
011810,STX,B+,B,B+,B+,2012,5.0,3.0,5.0,5.0
011810,STX,B+,B+,B+,B+,2011,5.0,5.0,5.0,5.0
010780,아이에스동서,B+,B,B+,B+,2021,5.0,3.0,5.0,5.0
010780,아이에스동서,B이하,C,B이하,B이하,2018,2.0,1.0,2.0,2.0
010780,아이에스동서,B이하,B,B이하,B이하,2017,2.0,3.0,2.0,2.0
010780,아이에스동서,B이하,B,B이하,B이하,2016,2.0,3.0,2.0,2.0
010780,아이에스동서,B이하,C,B이하,B이하,2015,2.0,1.0,2.0,2.0
010780,아이에스동서,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
010780,아이에스동서,B이하,C,B이하,B이하,2013,2.0,1.0,2.0,2.0
010780,아이에스동서,B이하,C,B이하,B이하,2012,2.0,1.0,2.0,2.0
010780,아이에스동서,B이하,C,B이하,B이하,2011,2.0,1.0,2.0,2.0
003570,SNT중공업,B,B,C,B,2021,3.0,3.0,1.0,3.0
103130,웅진에너지,B이하,B,B이하,B+,2018,2.0,3.0,2.0,5.0
103130,웅진에너지,B+,B,B이하,A,2017,5.0,3.0,2.0,6.0
103130,웅진에너지,B이하,C,B이하,A,2016,2.0,1.0,2.0,6.0
103130,웅진에너지,B이하,C,B이하,B+,2015,2.0,1.0,2.0,5.0
103130,웅진에너지,B+,B,B이하,A,2014,5.0,3.0,2.0,6.0
103130,웅진에너지,B이하,B,B이하,B+,2013,2.0,3.0,2.0,5.0
103130,웅진에너지,B이하,B,B이하,B+,2012,2.0,3.0,2.0,5.0
010140,삼성중공업,B+,B,A,B+,2021,5.0,3.0,6.0,5.0
010140,삼성중공업,B+,B,B이하,A,2018,5.0,3.0,2.0,6.0
010140,삼성중공업,B+,B+,B이하,B+,2017,5.0,5.0,2.0,5.0
010140,삼성중공업,B+,B,A,A,2016,5.0,3.0,6.0,6.0
010140,삼성중공업,B+,B+,B+,B+,2015,5.0,5.0,5.0,5.0
010140,삼성중공업,B+,B,A,A,2014,5.0,3.0,6.0,6.0
010140,삼성중공업,B+,B,A,B+,2013,5.0,3.0,6.0,5.0
010140,삼성중공업,B+,B,A+,B+,2012,5.0,3.0,7.0,5.0
010140,삼성중공업,B이하,B,B이하,B+,2011,2.0,3.0,2.0,5.0
033530,세종공업,B,B,B,B,2021,3.0,3.0,3.0,3.0
033530,세종공업,B이하,C,B이하,B이하,2018,2.0,1.0,2.0,2.0
033530,세종공업,B이하,C,B이하,B+,2017,2.0,1.0,2.0,5.0
033530,세종공업,B이하,C,B이하,B이하,2016,2.0,1.0,2.0,2.0
033530,세종공업,B이하,B,B이하,B이하,2015,2.0,3.0,2.0,2.0
033530,세종공업,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
033530,세종공업,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
033530,세종공업,B이하,B,B이하,B+,2012,2.0,3.0,2.0,5.0
033530,세종공업,B이하,B,B이하,B이하,2011,2.0,3.0,2.0,2.0
001680,대상,A,A,A+,B+,2021,6.0,6.0,7.0,5.0
001680,대상,B이하,B,B+,B이하,2018,2.0,3.0,5.0,2.0
001680,대상,B이하,B,B+,B이하,2017,2.0,3.0,5.0,2.0
001680,대상,B이하,C,B+,B이하,2016,2.0,1.0,5.0,2.0
001680,대상,B이하,C,B이하,B이하,2015,2.0,1.0,2.0,2.0
001680,대상,B이하,C,B이하,B이하,2014,2.0,1.0,2.0,2.0
001680,대상,B이하,C,B이하,B+,2013,2.0,1.0,2.0,5.0
001680,대상,B이하,C,B+,B이하,2012,2.0,1.0,5.0,2.0
001680,대상,B이하,B,B이하,B이하,2011,2.0,3.0,2.0,2.0
005180,빙그레,A,A,A+,A,2021,6.0,6.0,7.0,6.0
005180,빙그레,B+,B+,A,B+,2018,5.0,5.0,6.0,5.0
005180,빙그레,B이하,B,B+,B이하,2017,2.0,3.0,5.0,2.0
005180,빙그레,B이하,B,B+,B이하,2016,2.0,3.0,5.0,2.0
005180,빙그레,B이하,B,B이하,B이하,2015,2.0,3.0,2.0,2.0
