종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
6840,AK홀딩스,"34,600",-250,0.72,"546,795,600","458,365,610,600"
27410,BGF,"5,600",0,0.0,"784,601,810","536,014,029,600"
96760,JW홀딩스,"6,350",90,1.44,"412,202,220","409,707,740,400"
93050,LF,"18,500",300,1.65,"994,755,650","540,940,000,000"
2240,고려제강,"20,550",250,1.23,"217,287,600","411,000,000,000"
3920,남양유업,"439,500","8,500",1.97,"319,073,000","316,440,000,000"
25860,남해화학,"8,160",10,0.12,"683,872,630","405,379,358,880"
19680,대교,"6,100",10,0.16,"476,454,550","516,687,385,000"
8060,대덕전자,"10,450",-100,0.95,"3,358,990,200","815,172,857,400"
640,동아쏘시오홀딩스,"107,500","1,000",0.94,"447,545,500","659,866,927,500"
170900,동아에스티,"119,000","2,000",1.71,"1,432,418,500","1,004,820,292,000"
1520,동양,"1,435",30,2.14,"485,241,950","342,511,630,405"
2270,롯데푸드,"413,000",-500,0.12,"895,955,000","467,462,310,000"
1430,세아베스틸,"15,250",-150,0.97,"705,705,850","546,897,314,750"
3620,쌍용차,"2,075",-10,0.48,"799,075,160","310,918,004,150"
14830,유니드,"46,750",400,0.86,"916,777,950","415,600,160,250"
25540,한국단자,"42,750",550,1.3,"339,392,800","445,241,250,000"
2960,한국쉘석유,"323,000","-3,500",1.07,"917,693,000","419,900,000,000"
60980,한라홀딩스,"45,900",650,1.44,"676,030,300","480,668,013,000"
79430,현대리바트,"13,350",-50,0.37,"258,753,900","274,146,014,700"
298040,효성중공업,"26,650",350,1.33,"772,214,000","248,499,204,200"
7700,F&F,"84,400",600,0.72,"4,188,704,600","1,299,760,000,000"
12630,HDC,"11,050",250,2.31,"5,134,670,050","660,146,017,050"
1060,JW중외제약,"35,050","1,350",4.01,"49,359,028,950","733,247,892,700"
108670,LG하우시스,"78,000","1,900",2.5,"7,350,743,300","699,478,260,000"
5610,SPC삼립,"72,000",-500,0.69,"1,861,709,900","621,288,648,000"
8350,남선알미늄,"4,695",150,3.3,"10,150,297,310","517,290,827,550"
115390,락앤락,"10,150",0,0.0,"1,846,605,250","538,027,525,700"
71840,롯데하이마트,"31,150",150,0.48,"3,341,955,800","735,380,228,800"
